distance_m,postcode_match,city_match,address_match,operator_similarity,provider_uid,static_publication_id,site_id,site_operator,site_address,site_postcode,site_city,site_total_evses,station_id,datex_station_ids,datex_charge_point_ids,station_operator,station_address,station_postcode,station_city,station_charging_points_count,station_in_bundle,score
0.0,True,True,True,1.0,chargecloud,978597062404620288,04e87c01-5d4d-4035-87aa-5e7fc094a76b,Allgäuer Überlandwerk GmbH,Ebratshofen  24,88167,Grünenbach,1,65e921f8ad8c1224,0aff7c2b-4bdf-4fa7-964b-06d73e992477,DEAUWE1062001,Allgäuer Überlandwerk GmbH,Ebratshofen 24 88167 Grünenbach Landkreis Lindau (Bodensee),88167,Grünenbach,1,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,04ffd873-2b47-42bc-8ec1-4f080954418e,TankE GmbH,Am Markt 1,51399,Burscheid,2,a13039bc915a0965,09a9ce23-e9b6-4e7f-b299-262901a895cc,DETNKE20089701|DETNKE20089702,TankE GmbH,Am Markt 1 51399 Burscheid Kreis Rheinisch-Bergischer Kreis,51399,Burscheid,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,05885ca5-bea2-46e6-a9ad-a33ef451dbdf,TankE GmbH,Frankfurter Straße 312,51103,Köln,2,997b26607c7ddb69,ad4cb1c1-70e4-477e-852e-1f30494210bc,DETNKE0029801|DETNKE0029802,TankE GmbH,Frankfurter Straße 312 51103 Köln Kreisfreie Stadt Köln,51103,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0598fc1b-dbc5-474a-aa03-568b1d678f60,Stadtwerke Heidelberg Energie GmbH,Pleikartsförster Straße 130,69124,Heidelberg,4,88b11cd538500310,32004b8d-e3c0-4c2d-a276-901c254c0a28|b50d1301-3fd9-4da4-bd7f-063c5fa1cb72,DE1HDESWH17001|DE1HDESWH17002|DE1HDESWH17003|DE1HDESWH17004,Stadtwerke Heidelberg Energie GmbH,Pleikartsförster Straße 130 69124 Heidelberg Stadtkreis Heidelberg,69124,Heidelberg,4,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,05997896-4a23-433a-a155-08ef4e426c7c,ecowerk e-charge GmbH,Provenceweg  22,72072,Tübingen,2,5d4368dc8607d362,ea6c4403-94cb-401a-be7e-1bf0cd4daeb7,DETUEE00015001|DETUEE00015002,ecowerk e-charge GmbH,Provenceweg 22 72072 Tübingen Landkreis Tübingen,72072,Tübingen,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,05a2ba35-9226-4327-9e79-ac21a6333a9f,Energie und Wasserversorgung Bonn/Rhein-Sieg GmbH (EnW Bonn/Rhein-Sieg),Hardtbergstraße 2-6,53127,Bonn,2,ccc6f5a80e8c2792,0abec4e5-b842-42f1-8d01-4a9d4c499d96,DEOPEE0031600L|DEOPEE0031600R,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Hardtbergstraße 2-6 53127 Bonn Kreisfreie Stadt Bonn,53127,Bonn,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,05b9b3c6-71b4-4855-8c26-1d323ce1d8cd,TankE GmbH,Marienhof  9,50968,Köln,2,19c9d08dacf80a66,2d36f5a5-449b-422f-9130-761880a720fe,DETNKE0037601|DETNKE0037602,TankE GmbH,Marienhof 9 50968 Köln Kreisfreie Stadt Köln,50968,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0665a251-186b-44ea-b8cb-9323967136cd,Energie und Wasserversorgung Bonn/Rhein-Sieg GmbH (EnW Bonn/Rhein-Sieg),In der Wehrhecke 6,53125,Bonn,2,a40592c161b43eea,015e7f13-774b-41e7-8025-d73dce5281e3,DEOPEE0007300R|DEOPEE0007300L,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,In der Wehrhecke 6 53125 Bonn Kreisfreie Stadt Bonn,53125,Bonn,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0672e928-7a78-417e-9024-a8dfdcf45629,TankE GmbH,Am Römerhof  6,50858,Köln,2,7f0dac92bf6a44b9,4f7ad1c3-2a67-4371-8e9a-5eb65a5aa7a1,DETNKE0027202|DETNKE0027201,TankE GmbH,Am Römerhof 6 50858 Köln Kreisfreie Stadt Köln,50858,Köln,2,1,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0674367d-fd14-4ad9-be08-4df28e7dde9e,Allgäuer Kraftwerke GmbH,Blaichacher Straße  25,87545,Burgberg,2,3d5a8a14e6fb9450,f468c50a-fbf9-4364-b0d0-9cc41be6b534,DE738E00007001|DE738E00007002,Allgäuer Kraftwerke GmbH,Blaichacher Straße 25 87545 Burgberg Landkreis Oberallgäu,87545,Burgberg,2,0,-100.0
